H,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record Type,Payment Type,Processing Mode,,Customer Reference,,Debit A/C Country Code,Debit A/C City Code,Debit A/C No.,Payment/Value Date,Payee/Beneficiary Name,Payee Address1,Payee Address2,Payee Country Code,,Payee/Beneficiary Bank Code,,,,Beneficiary A/C No.,Payment Details 1,Payment Details 2,,,,,,,,,,,,,,,Invoice Format,Payment Currency,Invoice/Payment Amount,Local Charge To,,,,Clearing Zone,,Delivery Method,Deliver To,Counter Pickup Location,,Beneficiary Name 1 in LL,,Beneficiary Address 1 in LL,,,,,,,,Debit Currency,Debit Bank ID,,Beneficiary Email ID,,,Beneficiary Bank Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purpose of Payment,Receiver ID/ Beneficiary ID,Receiver ID Type/ Beneficiary ID Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer No,Invoice/Top-up,Beneficiary Contact No
P,BT,ON,,,,PK,KHI,1234567801,25/09/2024,Bene Name,,,PK,,SCBLPKKXXXX,,,,1234567891,Payment Details 1,Payment Details 2,,,,,,,,,,,,,,,4,PKR,2000,,,,,,,,,,,,,,,,,,,,,PKR,SCBLPKKXXXX,,Info@ABC.com,,,SCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,ACH,ON,,,,PK,KHI,1234567801,25/09/2024,Bene Name,,,PK,,600648,,,,PK99HABB0012345678901234,Payment Details 1,Payment Details 2,,,,,,,,,,,,,,,4,PKR,4000,,,,,,,,,,,,,,,,,,,,,PKR,SCBLPKKXXXX,,Info@ABC.com,,,HBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,RTGS,ON,,,,PK,KHI,1234567801,25/09/2024,Bene Name,,,PK,,MUCBPKKKRTG,,,,PK99MUCB0012345678901234,Payment Details 1,Payment Details 2,,,,,,,,,,,,,,,4,PKR,1010000,,,,,,,,,,,,,,,,,,,,,PKR,SCBLPKKXXXX,,Info@ABC.com,,,MCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,IBFT,ON,,,,PK,KHI,1234567801,25/09/2024,Bene Name,,,PK,,MUCBPKKKXRTG,,,,PK99MUCB0012345678901234,Payment Details 1,Payment Details 2,,,,,,,,,,,,,,,4,PKR,4000,,,,,,,,,,,,,,,,,,,,,PKR,SCBLPKKXXXX,,Info@ABC.com,,,MCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.20001E+12,CNIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,BPAY,ON,,,,PK,KHI,1234567801,15/9/2025,K-Electric,,,PK,,SCBLPKKXXXX,,,,,,,,,,,,,,,,,,,,,,PKR,100000,,,,,,,,,,,,,,,,,,,,,PKR,SCBLPKKXXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3312880460,I,
P,LBC,ON,,,,PK,KHI,1234567801,15/9/2025,Bene Name,Payee Address1,Payee Address2,PK,,,,,,,,,,,,,,,,,,,,,,,4,PKR,4000,C,,,,0,,C,C,KHI,,Bene Name,,Payee Address1,,,,,,,,PKR,SCBLPKKXXXX,,Info@ABC.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,4.20001E+12,CNIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03XX1234567
P,PAY,BA,,,,PK,KHI,1234567801,15/9/2025,Bene Name,,,PK,,SCBLPKKXXXX,,,,1234567891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,6,1124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
